ID	CRISPR-Cas
ab00012	I-Fb
ab00018	I-Fb
ab00020	I-Fb
ab00022	I-Fb
ab00023	I-Fb
ab00025	I-Fb
ab00030	I-Fb
ab00032	I-Fb
ab00043	I-Fb
ab00044	I-Fb
ab00045	I-Fb
ab00050	I-Fb
ab00051	I-Fb
ab00052	I-Fb
ab00053	I-Fb
ab00062	I-Fb
ab00069	I-Fb
ab00072	I-Fb
ab00078	I-Fb
ab00079	I-Fb
ab00084	I-Fb
ab00089	I-Fb
ab00096	I-Fb
ab00098	I-Fb
ab00099	I-Fb
ab00114	I-Fb
ab00115	I-Fb
ab00117	I-Fb
ab00118	I-Fb
ab00119	I-Fb
ab00122	I-Fb
ab00127	I-Fb
ab00129	I-Fb
ab00130	I-Fb
ab00135	I-Fb
ab00138	I-Fb
ab00139	I-Fb
ab00140	I-Fb
ab00154	I-Fb
ab00163	I-Fb
ab00164	I-Fb
ab00166	I-Fb
ab00179	I-Fb
ab00182	I-Fb
ab00186	I-Fb
ab00187	I-Fb
ab00201	I-Fb
ab00213	I-Fb
ab00222	I-Fb
ab00226	I-Fb
ab00227	I-Fb
ab00239	I-Fb
ab00251	I-Fb
ab00265	I-Fb
ab00383	I-Fb
ab00400	I-Fb
ab00404	I-Fb
ab00427	I-Fb
ab00428	I-Fb
ab00477	I-Fb
ab00487	I-Fb
ab00527	I-Fb
ab00528	I-Fb
ab00529	I-Fb
ab00534	I-Fb
ab00563	I-Fb
ab00571	I-Fb
ab00572	I-Fb
ab00592	I-Fb
ab00610	I-Fb
ab00642	I-Fb
ab00647	I-Fb
ab00658	I-Fb
ab00659	I-Fb
ab00666	I-Fb
ab00681	I-Fb
ab00882	I-Fb
ab00886	I-Fb
ab00890	I-Fb
ab00904	I-Fb
ab00914	I-Fb
ab00915	I-Fb
ab00918	I-Fb
ab00930	I-Fb
ab00948	I-Fb
ab00950	I-Fb
ab00957	I-Fb
ab00959	I-Fb
ab00989	I-Fb
ab00999	I-Fb
ab01147	I-Fb
ab01189	I-Fb
ab01213	I-Fb
ab01217	I-Fb
ab01219	I-Fb
ab01282	I-Fb
ab01286	I-Fb
ab01295	I-Fb
ab01296	I-Fb
ab01299	I-Fb
ab01493	I-Fb
ab01520	I-Fb
ab01542	I-Fb
ab01571	I-Fb
ab01572	I-Fb
ab01573	I-Fb
ab01575	I-Fb
ab01580	I-Fb
ab01581	I-Fb
ab01582	I-Fb
ab01583	I-Fb
ab01585	I-Fb
ab01617	I-Fb
ab01622	I-Fb
ab01623	I-Fb
ab01624	I-Fb
ab01625	I-Fb
ab01627	I-Fb
ab01628	I-Fb
ab01629	I-Fb
ab01630	I-Fb
ab01632	I-Fb
ab01633	I-Fb
ab01634	I-Fb
ab01635	I-Fb
ab01640	I-Fb
ab01646	I-Fb
ab01647	I-Fb
ab01652	I-Fb
ab01655	I-Fb
ab01657	I-Fb
ab01659	I-Fb
ab01669	I-Fb
ab01677	I-Fb
ab01679	I-Fb
ab01691	I-Fb
ab01695	I-Fb
ab01697	I-Fb
ab01701	I-Fb
ab01702	I-Fb
ab01705	I-Fb
ab01707	I-Fb
ab01709	I-Fb
ab01720	I-Fb
ab01721	I-Fb
ab01742	I-Fb
ab01744	I-Fb
ab01745	I-Fb
ab01751	I-Fb
ab01758	I-Fb
ab01771	I-Fb
ab01784	I-Fb
ab01790	I-Fb
ab01795	I-Fb
ab01799	I-Fb
ab01800	I-Fb
ab01801	I-Fb
ab01806	I-Fb
ab01810	I-Fb
ab01811	I-Fb
ab01817	I-Fb
ab01818	I-Fb
ab01822	I-Fb
ab01823	I-Fb
ab01824	I-Fb
ab01827	I-Fb
ab01829	I-Fb
ab01830	I-Fb
ab01831	I-Fb
ab01832	I-Fb
ab01833	I-Fb
ab01834	I-Fb
ab01836	I-Fb
ab01837	I-Fb
ab01840	I-Fb
ab01845	I-Fb
ab01848	I-Fb
ab01850	I-Fb
ab01851	I-Fb
ab01852	I-Fb
ab01853	I-Fb
ab01864	I-Fb
ab01870	I-Fb
ab01871	I-Fb
ab01882	I-Fb
ab01911	I-Fb
ab01921	I-Fb
ab01923	I-Fb
ab01935	I-Fb
ab01946	I-Fb
ab01958	I-Fb
ab01963	I-Fb
ab01967	I-Fb
ab01978	I-Fb
ab01990	I-Fb
ab01996	I-Fb
ab01998	I-Fb
ab02003	I-Fb
ab02004	I-Fb
ab02011	I-Fb
ab02016	I-Fb
ab02017	I-Fb
ab02036	I-Fb
ab02041	I-Fb
ab02050	I-Fb
ab02051	I-Fb
ab02060	I-Fb
ab02064	I-Fb
ab02068	I-Fb
ab02070	I-Fb
ab02078	I-Fb
ab02096	I-Fb
ab02125	I-Fb
ab02135	I-Fb
ab02142	I-Fb
ab02152	I-Fb
ab02160	I-Fb
ab02164	I-Fb
ab02168	I-Fb
ab02169	I-Fb
ab02172	I-Fb
ab02188	I-Fb
ab02211	I-Fb
ab02216	I-Fb
ab02232	I-Fb
ab02235	I-Fb
ab02237	I-Fb
ab02238	I-Fb
ab02239	I-Fb
ab02240	I-Fb
ab02252	I-Fb
ab02253	I-Fb
ab02256	I-Fb
ab02258	I-Fb
ab02259	I-Fb
ab02264	I-Fb
ab02265	I-Fb
ab02266	I-Fb
ab02267	I-Fb
ab02268	I-Fb
ab02269	I-Fb
ab02270	I-Fb
ab02271	I-Fb
ab02272	I-Fb
ab02273	I-Fb
ab02274	I-Fb
ab02275	I-Fb
ab02276	I-Fb
ab02277	I-Fb
ab02278	I-Fb
ab02280	I-Fb
ab02281	I-Fb
ab02283	I-Fb
ab02284	I-Fb
ab02285	I-Fb
ab02287	I-Fb
ab02289	I-Fb
ab02304	I-Fb
ab02307	I-Fb
ab02334	I-Fb
ab02341	I-Fb
ab02344	I-Fb
ab02346	I-Fb
ab02363	I-Fb
ab02365	I-Fb
ab02366	I-Fb
ab02368	I-Fb
ab02371	I-Fb
ab02377	I-Fb
ab02381	I-Fb
ab02382	I-Fb
