Array	N	Frequency
cho	1	34
cho	1	34
cho	1	34
cho	1	34
cho	1	45
cho	1	45
cho	1	45
cho	1	45
cho	1	45
cho	1	56
cho	1	56
cho	1	45
cho	1	45
cho	1	47
cho	1	94
cho	1	45
cho	1	45
cho	1	45
cho	1	45
cho	1	45
cho	1	45
cho	1	45
cho	1	45
cho	1	69
cho	1	45
cho	1	45
cho	1	45
cho	1	45
cho	1	76
cho	1	45
cho	1	45
cho	1	45
cho	1	45
cho	2	56
cho	2	55
ifa	1	42
ifa	1	115
ifa	1	71
ifa	1	12
ifa	1	67
ifa	1	152
ifa	1	23
ifa	1	30
ifa	1	79
ifa	1	50
ifa	1	44
ifa	1	52
ifa	1	50
ifa	1	66
ifa	1	76
ifa	1	52
ifa	1	66
ifa	1	106
ifa	1	106
ifa	1	62
ifa	1	119
ifa	1	30
ifa	1	106
ifa	1	52
ifa	1	37
ifa	1	10
ifa	1	85
ifa	1	44
ifa	1	52
ifa	1	20
ifa	1	135
ifa	1	11
ifa	1	52
ifa	1	68
ifa	1	52
ifa	1	120
ifa	1	99
ifa	1	51
ifa	1	69
ifa	1	128
ifa	1	83
ifa	1	31
ifa	1	76
ifa	1	73
ifa	1	91
ifa	1	53
ifa	1	24
ifa	1	46
ifa	1	13
ifa	1	63
ifa	1	88
ifa	1	88
ifa	1	29
ifa	1	25
ifa	1	66
ifa	1	29
ifa	1	29
ifa	1	54
ifa	1	29
ifa	1	89
ifa	1	52
ifa	1	30
ifa	1	65
ifa	1	83
ifa	1	83
ifa	1	83
ifa	1	103
ifa	1	146
ifa	1	61
ifa	1	46
ifa	1	42
ifa	1	65
ifa	1	66
ifa	1	46
ifa	1	51
ifa	1	46
ifa	1	65
ifa	1	53
ifa	1	16
ifa	1	29
ifa	1	46
ifa	1	46
ifa	1	86
ifa	1	34
ifa	1	9
ifa	1	69
ifa	1	75
ifa	1	75
ifa	1	75
ifa	1	32
ifa	1	70
ifa	1	23
ifa	1	23
ifa	1	23
ifa	1	102
ifa	1	23
ifa	1	23
ifa	1	73
ifa	1	68
ifa	1	68
ifa	1	68
ifa	1	68
ifa	1	68
ifa	1	68
ifa	1	68
ifa	1	12
ifa	1	23
ifa	1	23
ifa	1	81
ifa	1	48
ifa	1	82
ifa	1	64
ifa	1	12
ifa	1	60
ifa	1	18
ifa	1	12
ifa	1	12
ifa	1	69
ifa	1	75
ifa	1	36
ifa	1	58
ifa	1	77
ifa	1	5
ifa	1	12
ifa	1	64
ifa	1	63
ifa	1	75
ifa	1	92
ifa	1	75
ifa	1	87
ifa	1	87
ifa	1	12
ifa	1	86
ifa	1	75
ifa	1	75
ifa	1	91
ifa	1	75
ifa	1	82
ifa	1	12
ifa	1	81
ifa	1	78
ifa	1	14
ifa	1	89
ifa	1	91
ifa	1	86
ifa	1	14
ifa	1	76
ifa	1	5
ifa	1	14
ifa	1	74
ifa	1	63
ifa	1	12
ifa	1	91
ifa	1	69
ifa	1	15
ifa	1	12
ifa	1	63
ifa	1	12
ifa	1	80
ifa	1	60
ifa	1	14
ifa	1	14
ifa	1	88
ifa	1	12
ifa	1	80
ifa	1	12
ifa	1	76
ifa	1	71
ifa	1	14
ifa	1	8
ifa	1	20
ifa	1	12
ifa	1	86
ifa	1	54
ifa	1	75
ifa	1	27
ifa	1	14
ifa	1	81
ifa	1	76
ifa	1	81
ifa	1	7
ifa	1	17
ifa	1	5
ifa	1	39
ifa	1	65
ifa	1	41
ifa	1	74
ifa	1	70
ifa	1	66
ifa	1	7
ifa	1	11
ifa	1	36
ifa	1	11
ifa	1	10
ifa	1	31
ifa	1	48
ifa	1	76
ifa	1	38
ifa	1	7
ifa	1	32
ifa	1	8
ifa	1	8
ifa	1	39
ifa	1	5
ifa	1	37
ifa	1	43
ifa	1	6
ifa	1	64
ifa	1	6
ifa	1	55
ifa	1	126
ifa	1	20
ifa	1	5
ifa	1	31
ifa	1	29
ifa	1	84
ifa	1	58
ifa	1	77
ifa	1	81
ifa	1	74
ifa	1	116
ifa	1	28
ifa	1	107
ifa	1	20
ifa	1	25
ifa	1	25
ifa	1	66
ifa	1	34
ifa	1	43
ifa	1	52
ifa	1	81
ifa	1	33
ifa	1	86
ifa	1	40
ifa	1	29
ifa	1	29
ifa	1	29
ifa	1	63
ifa	1	32
ifa	1	40
ifa	1	13
ifa	1	14
ifa	1	5
ifa	1	10
ifa	1	53
ifa	1	52
ifa	1	51
ifa	1	52
ifa	1	65
ifa	1	78
ifa	1	78
ifa	1	31
ifa	1	86
ifa	1	86
ifa	1	77
ifa	1	52
ifa	1	29
ifa	1	94
ifa	1	126
ifa	1	31
ifa	1	110
ifa	1	52
ifa	1	11
ifa	1	78
ifa	1	79
ifa	1	67
ifa	1	50
ifa	1	106
ifa	1	41
ifa	1	92
ifa	1	64
ifa	1	72
ifa	1	29
