Phage_cluster	nvariants	fa_ifa1	fr_ifa1	fasp_ifa1	frsp_ifa1	fas_ifa1	frs_ifa1	fa_ifa2	fr_ifa2	fasp_ifa2	frsp_ifa2	fas_ifa2	frs_ifa2	fa_ifb	fr_ifb	fasp_ifb	frsp_ifb	fas_ifb	frs_ifb
Phage_1293	571	571	1.00	50	0.02	172	0.68	437	0.77	10	0.01	38	0.20	571	1.00	48	0.02	146	0.16
Phage_1129	109	109	1.00	41	0.01	120	0.47	109	1.00	10	0.01	33	0.17	109	1.00	44	0.01	783	0.86
Phage_1028	102	102	1.00	62	0.02	136	0.54	102	1.00	14	0.02	124	0.65	102	1.00	62	0.02	848	0.94
Phage_1023	682	682	1.00	13	0.00	52	0.21	682	1.00	6	0.01	16	0.08	682	1.00	17	0.01	146	0.16
Phage_1233	1353	1353	1.00	52	0.02	110	0.43	30	0.02	13	0.02	130	0.68	1289	0.95	49	0.02	784	0.87
Phage_1408	136	136	1.00	10	0.00	26	0.10	136	1.00	4	0.01	103	0.54	136	1.00	10	0.00	19	0.02
Phage_1066	190	190	1.00	26	0.01	81	0.32	190	1.00	4	0.01	104	0.55	190	1.00	24	0.01	757	0.84
Phage_1011	183	183	1.00	8	0.00	41	0.16	183	1.00	3	0.00	10	0.05	183	1.00	5	0.00	213	0.24
Phage_1289	564	564	1.00	88	0.03	194	0.77	200	0.35	20	0.03	153	0.81	564	1.00	77	0.03	861	0.95
Phage_1071	137	137	1.00	26	0.01	155	0.61	137	1.00	4	0.01	103	0.54	137	1.00	14	0.00	441	0.49
Phage_1022	509	0	0.00	0	0.00	0	0.00	478	0.94	1	0.00	1	0.01	3	0.01	1	0.00	7	0.01
Phage_1016	465	465	1.00	33	0.01	65	0.26	465	1.00	7	0.01	104	0.55	465	1.00	35	0.01	188	0.21
Phage_1017	1138	1138	1.00	111	0.04	200	0.79	1138	1.00	21	0.03	138	0.73	999	0.88	104	0.03	865	0.95
Phage_1009	258	258	1.00	22	0.01	51	0.20	258	1.00	6	0.01	10	0.05	258	1.00	27	0.01	579	0.64
Phage_1033	108	108	1.00	51	0.02	73	0.29	108	1.00	20	0.03	37	0.19	108	1.00	70	0.02	838	0.92
Phage_1441	236	236	1.00	16	0.01	109	0.43	26	0.11	3	0.00	97	0.51	190	0.81	11	0.00	454	0.50
Phage_1308	395	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	394	1.00	1	0.00	6	0.01
Phage_1012	674	674	1.00	1	0.00	1	0.00	674	1.00	2	0.00	16	0.08	583	0.86	2	0.00	3	0.00
Phage_1031	145	145	1.00	40	0.01	161	0.64	145	1.00	10	0.01	23	0.12	145	1.00	30	0.01	115	0.13
Phage_1371	136	136	1.00	22	0.01	143	0.57	136	1.00	5	0.01	25	0.13	136	1.00	18	0.01	289	0.32
Phage_1398	216	210	0.97	8	0.00	22	0.09	202	0.94	3	0.00	14	0.07	216	1.00	11	0.00	43	0.05
Phage_1481	169	169	1.00	23	0.01	93	0.37	4	0.02	3	0.00	12	0.06	164	0.97	23	0.01	60	0.07
Phage_1003	866	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	861	0.99	1	0.00	6	0.01
Phage_1063	137	137	1.00	8	0.00	11	0.04	100	0.73	3	0.00	13	0.07	137	1.00	8	0.00	200	0.22
P1virus	2199	2198	1.00	125	0.04	215	0.85	2114	0.96	41	0.05	127	0.67	142	0.06	111	0.04	350	0.39
Phage-plasmid	164	17	0.10	3	0.00	8	0.03	0	0.00	0	0.00	0	0.00	17	0.10	1	0.00	6	0.01
Phage_1333	130	130	1.00	8	0.00	32	0.13	0	0.00	0	0.00	0	0.00	130	1.00	5	0.00	39	0.04
Phage_1099	241	241	1.00	52	0.02	198	0.78	65	0.27	10	0.01	123	0.65	241	1.00	57	0.02	852	0.94
Phage_1074	119	119	1.00	3	0.00	88	0.35	0	0.00	0	0.00	0	0.00	117	0.98	1	0.00	4	0.00
Phage_1004	1171	6	0.01	30	0.01	65	0.26	1171	1.00	7	0.01	26	0.14	1171	1.00	27	0.01	125	0.14
Phage_1246	121	121	1.00	10	0.00	36	0.14	121	1.00	2	0.00	8	0.04	121	1.00	4	0.00	41	0.05
Phage_1231	1902	1902	1.00	90	0.03	142	0.56	1855	0.98	23	0.03	140	0.74	1902	1.00	92	0.03	867	0.96
Phage_1054	141	141	1.00	124	0.04	216	0.85	141	1.00	23	0.03	60	0.32	141	1.00	101	0.03	866	0.96
Phage_1344	165	159	0.96	2	0.00	7	0.03	0	0.00	0	0.00	0	0.00	163	0.99	2	0.00	19	0.02
Phage_1050	154	154	1.00	37	0.01	158	0.62	7	0.05	12	0.02	40	0.21	154	1.00	34	0.01	281	0.31
Phage_1055	832	832	1.00	45	0.02	130	0.51	832	1.00	8	0.01	124	0.65	832	1.00	47	0.02	845	0.93
Phage_1151	187	187	1.00	5	0.00	6	0.02	186	0.99	2	0.00	10	0.05	187	1.00	5	0.00	199	0.22
Phage_1311	794	794	1.00	55	0.02	94	0.37	794	1.00	9	0.01	126	0.66	794	1.00	51	0.02	229	0.25
Phage_1631	113	113	1.00	45	0.02	183	0.72	111	0.98	7	0.01	16	0.08	113	1.00	43	0.01	783	0.86
Phage_1125	111	111	1.00	99	0.03	210	0.83	110	0.99	24	0.03	143	0.75	111	1.00	94	0.03	812	0.90
Phage_1021	628	628	1.00	47	0.02	119	0.47	368	0.59	6	0.01	33	0.17	627	1.00	29	0.01	128	0.14
Phage_1002	190	190	1.00	27	0.01	76	0.30	190	1.00	7	0.01	17	0.09	190	1.00	30	0.01	117	0.13
