Position	Frequency	Label	N
80815	5	_dinB_2	2
66014	1	ABZJ_00983	1
41670	2	B9X62_15295	3
25499	128	dcm__37	9
80678	1219	dinB	1
6862	9772	J619_03012	19
30980	6299	J633_0229	6
40245	6299	J633_0229	6
21899	238	T630_2262	4
79013	10	unknown127	2
70145	2	unknown14779	1
46836	1	unknown15541	1
4191	1240	unknown171	1
5693	3	unknown174	2
8742	4420	unknown176	1
10002	4930	unknown178	2
66668	4224	unknown200	13
3982	1240		
3983	1240		
3984	1240		
3985	1240		
3986	1240		
3987	1240		
3988	1240		
3989	1240		
3990	1240		
3991	1240		
3992	1240		
3993	1240		
3994	1240		
3995	1240		
3996	1240		
3997	1240		
3998	1240		
3999	1240		
4000	1240		
4001	1240		
4002	1240		
4003	1240		
4004	1240		
4005	1240		
4006	1240		
4007	1240		
4008	1240		
4009	1240		
4010	1240		
4011	1240		
4012	1240		
4013	1240		
4014	1240		
4015	1240		
4016	1240		
4017	1240		
4018	1240		
4019	1240		
4020	1240		
4021	1240		
4022	1240		
4023	1240		
4024	1240		
4025	1240		
4026	1240		
4027	1240		
4028	1240		
4029	1240		
4030	1240		
4031	1240		
4032	1240		
4033	1240		
4034	1240		
4035	1240		
4036	1240		
4037	1240		
4038	1240		
4039	1240		
4040	1240		
4041	1240		
4042	1240		
4043	1240		
4044	1240		
4045	1240		
4046	1240		
4047	1240		
4048	1240		
4049	1240		
4050	1240		
4051	1240		
4052	1240		
4053	1240		
4054	1240		
4055	1240		
4056	1240		
4057	1240		
4058	1240		
4059	1240		
4060	1240		
4061	1240		
4062	1240		
4063	1240		
4064	1240		
4065	1240		
4066	1240		
4067	1240		
4068	1240		
4069	1240		
4070	1240		
4071	1240		
4072	1240		
4073	1240		
4074	1240		
4075	1240		
4076	1240		
4077	1240		
4078	1240		
4079	1240		
4080	1240		
4081	1240		
4082	1240		
4083	1240		
4084	1240		
4085	1240		
4086	1240		
4087	1240		
4088	1240		
4089	1240		
4090	1240		
4091	1240		
4092	1240		
4093	1240		
4094	1240		
4095	1240		
4096	1240		
4097	1240		
4098	1240		
4099	1240		
4100	1240		
4101	1240		
4102	1240		
4103	1240		
4104	1240		
4105	1240		
4106	1240		
4107	1240		
4108	1240		
4109	1240		
4110	1240		
4111	1240		
4112	1240		
4113	1240		
4114	1240		
4115	1240		
4116	1240		
4117	1240		
4118	1240		
4119	1240		
4120	1240		
4121	1240		
4122	1240		
4123	1240		
4124	1240		
4125	1240		
4126	1240		
4127	1240		
4128	1240		
4129	1240		
4130	1240		
4131	1240		
4132	1240		
4133	1240		
4134	1240		
4135	1240		
4136	1240		
4137	1240		
4138	1240		
4139	1240		
4140	1240		
4141	1240		
4142	1240		
4143	1240		
4144	1240		
4145	1240		
4146	1240		
4147	1240		
4148	1240		
4149	1240		
4150	1240		
4151	1240		
4152	1240		
4153	1240		
4154	1240		
4155	1240		
4156	1240		
4157	1240		
4158	1240		
4159	1240		
4160	1240		
4161	1240		
4162	1240		
4163	1240		
4164	1240		
4165	1240		
4166	1240		
4167	1240		
4168	1240		
4169	1240		
4170	1240		
4171	1240		
4172	1240		
4173	1240		
4174	1240		
4175	1240		
4176	1240		
4177	1240		
4178	1240		
4179	1240		
4180	1240		
4181	1240		
4182	1240		
4183	1240		
4184	1240		
4185	1240		
4186	1240		
4187	1240		
4188	1240		
4189	1240		
4190	1240		
5403	3		
5404	3		
5405	3		
5406	3		
5407	3		
5408	3		
5409	3		
5410	3		
5411	3		
5412	3		
5413	3		
5414	3		
5415	3		
5416	3		
5417	3		
5418	3		
5419	3		
5420	3		
5421	3		
5422	3		
5423	3		
5424	3		
5425	3		
5426	3		
5427	3		
5428	3		
5429	3		
