ID	CRISPRtype	MLST	CRISPR_incomplete	CRISPR_array	Anycas	Ambiguous	I-Fab	P1virus	P1virus(incomplete)
ab00001		2						P1virus	P1virus(incomplete)
ab00002		2						P1virus	
ab00003		2						P1virus	
ab00004		2						P1virus	
ab00005		-						P1virus	
ab00006		2						P1virus	P1virus(incomplete)
ab00007		-							
ab00008		-							
ab00009		2						P1virus	P1virus(incomplete)
ab00010		2						P1virus	P1virus(incomplete)
ab00011		2						P1virus	P1virus(incomplete)
ab00012	I-F	151					I-Fb		
ab00013		34		arrays		ambiguous			
ab00014		2						P1virus	P1virus(incomplete)
ab00015		34							
ab00016	I-F	-					I-Fa		
ab00017		130		arrays		ambiguous			
ab00018	I-F	151					I-Fb		
ab00019		49			anycas	ambiguous		P1virus	P1virus(incomplete)
ab00020	I-F	213					I-Fb		
ab00021		34		arrays		ambiguous			
ab00022	I-F	235					I-Fb		
ab00023	I-F	235					I-Fb		
ab00024		33		arrays		ambiguous			
ab00025	I-F	235					I-Fb		
ab00026		40							
ab00027		34		arrays		ambiguous			
ab00028		40							
ab00029		33		arrays		ambiguous			
ab00030	I-F	213	incomplete				I-Fb		
ab00031	I-F	-					I-Fa		
ab00032	I-F	213					I-Fb		
ab00033		2							
ab00034		2		arrays		ambiguous			
ab00035		2							
ab00036		2							
ab00037		2							
ab00038		2							
ab00039		490							
ab00040		-							
ab00041	I-F	221					I-Fa		
ab00042		516							
ab00043	I-F	25					I-Fb		
ab00044	I-F	213					I-Fb		
ab00045	I-F	213	incomplete				I-Fb		
ab00046		34		arrays		ambiguous			
ab00047		-		arrays	anycas	ambiguous			
ab00048	I-F,I-F	1136					I-Fa,I-Fb		
ab00049		727			anycas	ambiguous			
ab00050	I-F	213	incomplete				I-Fb		
ab00051	I-F	126					I-Fb		
ab00052	I-F	213					I-Fb		
ab00053	I-F	456					I-Fb		
ab00054		821							
ab00055		2							
ab00056		-		arrays		ambiguous			
ab00057		266						P1virus	P1virus(incomplete)
ab00058		2						P1virus	P1virus(incomplete)
ab00059		1548							
ab00060		2							
ab00061	I-F	-					I-Fa		
ab00062	I-F	213					I-Fb		
ab00063		34		arrays		ambiguous			
ab00064		1133							
ab00065		46							
ab00066		2							
ab00067		2							
ab00068		203							
ab00069	I-F	213					I-Fb		
ab00070		32							
ab00071		360							
ab00072	I-F	113					I-Fb		
ab00073		2							
ab00074		2							
ab00075		2							
ab00076	I-F,I-F	138					I-Fa,I-Fb		
ab00077		-							
ab00078	I-F	126					I-Fb		
ab00079	I-F	33					I-Fb		
ab00080	I-F	-					I-Fa		
ab00081		1646							
ab00082	I-F	-					I-Fa		
ab00083		-							
ab00084	I-F	126					I-Fb		
ab00085		2							
ab00086		33		arrays		ambiguous			
ab00087	I-F	-					I-Fa		
ab00088		2							
ab00089	I-F	-					I-Fb		
ab00090	I-F	647					I-Fa		
ab00091		2							
ab00092	I-F,I-F	152					I-Fa		
ab00093		1548							
ab00094		33		arrays		ambiguous			
ab00095		33							
ab00096	I-F	193					I-Fb		
ab00097	I-F	334					I-Fa		
ab00098	I-F	1					I-Fb		
ab00099	I-F	33					I-Fb		
ab00100		241							
ab00101		-							
ab00102	I-F,I-F	152					I-Fa,I-Fb		
ab00103	I-F	647					I-Fa		
ab00104		46							
ab00105	I-F	-					I-Fa		
ab00106	I-F	-	incomplete				I-Fa		
ab00107	I-F,I-F,I-F	152					I-Fa,I-Fb		
ab00108	I-F	-					I-Fa		
ab00109		33		arrays		ambiguous			
ab00110		-							
ab00111		236							
ab00112		2							
ab00113		490							
ab00114	I-F	-					I-Fb		
ab00115	I-F	456					I-Fb		
ab00116		331							
ab00117	I-F	235	incomplete				I-Fb		
ab00118	I-F	33	incomplete				I-Fb		
ab00119	I-F	424					I-Fb		
ab00120	I-F	218					I-Fa		
ab00121		-							
ab00122	I-F	-					I-Fb		
ab00123		33		arrays		ambiguous			
ab00124		33		arrays		ambiguous			
ab00125		2							
ab00126		490							
ab00127	I-F	33					I-Fb		
ab00128	I-F	138					I-Fa,I-Fb		
ab00129	I-F	151					I-Fb		
ab00130	I-F	-					I-Fb		
ab00131		1464		arrays	anycas	ambiguous		P1virus	P1virus(incomplete)
ab00132	I-F	218					I-Fa		
ab00133		34		arrays		ambiguous			
ab00134		2							
ab00135	I-F	193					I-Fb		
ab00136		130		arrays		ambiguous			
ab00137	I-F	334					I-Fa		
ab00138	I-F	213					I-Fb		
ab00139	I-F	213					I-Fb		
ab00140	I-F	193	incomplete				I-Fb		
ab00141	I-F	237	incomplete				I-Fa		
ab00142		130		arrays		ambiguous			
ab00143		924							
ab00144		34		arrays		ambiguous			
ab00145		-							
ab00146	I-F,I-F	848					I-Fa,I-Fb	P1virus	P1virus(incomplete)
ab00147	I-F	218					I-Fa		
ab00148		36							
ab00149		33		arrays		ambiguous			
ab00150	I-F,I-F	152					I-Fa,I-Fb		
ab00151		145							
ab00152	I-F,I-F	152					I-Fa,I-Fb		
ab00153		40							
ab00154	I-F	25					I-Fb		
ab00155	I-F	848					I-Fa	P1virus	P1virus(incomplete)
ab00156		216							
ab00157	I-F,I-F	152					I-Fa,I-Fb		
ab00158		727			anycas	ambiguous			
ab00159		727			anycas	ambiguous			
ab00160	I-F	118					I-Fa		
ab00161	I-F	138					I-Fa		
ab00162	I-F,I-F	152					I-Fa,I-Fb		
ab00163	I-F	193					I-Fb		
ab00164	I-F	193					I-Fb		
ab00165	I-F,I-F	138	incomplete				I-Fa		
ab00166	I-F	-					I-Fb		
ab00167		-		arrays	anycas	ambiguous			
ab00168		2							
ab00169		2							
ab00170		2							
ab00171		2							
ab00172	I-F,I-F	152					I-Fa,I-Fb		
ab00173		2							
ab00174		2							
ab00175		241							
ab00176		2							
ab00177		2							
ab00178		2							
ab00179	I-F	33					I-Fb		
ab00180	I-F	150	incomplete				I-Fa		
ab00181	I-F,I-F	-					I-Fa,I-Fb		
ab00182	I-F	1433					I-Fb		
ab00183		40							
ab00184		216		arrays		ambiguous			
ab00185	I-F	237					I-Fa		
ab00186	I-F	213					I-Fb		
ab00187	I-F	-	incomplete				I-Fb		
ab00188	I-F	218					I-Fa	P1virus	P1virus(incomplete)
ab00189		203							
ab00190		-							
ab00191		134							
ab00192	I-F	221					I-Fa		
ab00193		490							
ab00194		42							
ab00195		2							
ab00196		1102		arrays		ambiguous		P1virus	P1virus(incomplete)
ab00197		40							
ab00198		203							
ab00199	I-F,I-F	-					I-Fa,I-Fb	P1virus	P1virus(incomplete)
ab00200	I-F	-					I-Fa	P1virus	P1virus(incomplete)
ab00201	I-F	106					I-Fb		
ab00202		2							
ab00203	I-F	237	incomplete				I-Fa		
ab00204		2						P1virus	P1virus(incomplete)
ab00205		2						P1virus	P1virus(incomplete)
ab00206		499							
ab00207		78							
ab00208		78							
ab00209		2							
ab00210		2						P1virus	P1virus(incomplete)
ab00211		2							
ab00212		2							
ab00213	I-F	1					I-Fb		
ab00214		400							
ab00215		400							
ab00216		2							
ab00217		571						P1virus	P1virus(incomplete)
ab00218		2						P1virus	
ab00219		2							
ab00220		400							
ab00221		2							
ab00222	I-F	1					I-Fb		
ab00223		2						P1virus	
ab00224		604						P1virus	
ab00225		2						P1virus	
ab00226	I-F	1					I-Fb		
ab00227	I-F	81					I-Fb	P1virus	
ab00228		2							
ab00229		2							
ab00230		2							
ab00231		2							
ab00232		2							
ab00233		2							
ab00234		2						P1virus	
ab00235		2							
ab00236		2						P1virus	P1virus(incomplete)
ab00237		2							
ab00238		2							
ab00239	I-F	19					I-Fb		
ab00240		2							
ab00241		2							
ab00242		2							
ab00243		2							
ab00244		2							
ab00245		45							
ab00246		2						P1virus	P1virus(incomplete)
ab00247		2							
ab00248		2						P1virus	P1virus(incomplete)
ab00249		2						P1virus	P1virus(incomplete)
ab00250		570						P1virus	
ab00251	I-F	1					I-Fb		
